epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,8100.94,1.22991,1.45714,1.42719,0.65379,0.6083,0.63732,0.42541,1.22513,1.25795,1.35434,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,8268.25,1.22061,1.43154,1.42191,0.65738,0.6125,0.64761,0.43718,1.21753,1.24604,1.35842,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,8435.68,1.20595,1.43006,1.41303,0.65678,0.61539,0.65412,0.44459,1.19684,1.25301,1.34972,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,8603.02,1.20882,1.41322,1.40877,0.682,0.61951,0.66011,0.44946,1.19616,1.22503,1.34547,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,8770.3,1.19374,1.40045,1.40527,0.6739,0.62458,0.66342,0.45369,1.19106,1.20815,1.34609,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,8937.78,1.20784,1.3837,1.39641,0.68753,0.6278,0.67072,0.45728,1.19459,1.19693,1.34008,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,9105.79,1.18962,1.37102,1.39449,0.69199,0.62449,0.67257,0.46128,1.1866,1.19251,1.33643,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,9273.37,1.19387,1.35651,1.39025,0.70026,0.63319,0.68227,0.46782,1.17241,1.18179,1.33439,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,9440.63,1.18091,1.35926,1.38831,0.69832,0.63531,0.68568,0.47597,1.16687,1.17404,1.31689,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,9608.04,1.17538,1.32598,1.3808,0.72,0.63462,0.69624,0.47908,1.16508,1.17536,1.31971,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,9775.43,1.15928,1.3071,1.37779,0.72751,0.64189,0.70249,0.48884,1.15849,1.15062,1.31449,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,9942.74,1.16282,1.30507,1.36766,0.71592,0.64735,0.69925,0.48703,1.1558,1.14419,1.3115,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
